"t","x","y","z","a"
1.507854377E0,3.752014637E-1,-6.592697501E-1,5.524339676E-1,9.384007834E-1
1.512846199E0,3.662926853E-1,-6.051946282E-1,4.867610931E-1,8.587008974E-1
1.517838022E0,2.095377743E-1,-5.338072181E-1,4.834499359E-1,7.500533751E-1
1.522829845E0,1.200561821E-1,-5.256584287E-1,4.802360535E-1,7.220505090E-1
1.527821720E0,1.680414677E-1,-5.086248517E-1,5.626039505E-1,7.768271235E-1
1.532813595E0,3.895574212E-1,-6.532155275E-1,6.396436691E-1,9.937753938E-1
1.537805470E0,5.574073195E-1,-6.674278975E-1,6.877574921E-1,1.108680877E0
1.542797345E0,4.818879962E-1,-5.847070217E-1,8.496503830E-1,1.138421765E0
1.547789220E0,4.602262378E-1,-4.490417838E-1,1.309570312E0,1.458910935E0
1.552781095E0,5.726391673E-1,-4.044518173E-1,1.784946442E0,1.917688892E0
1.557772970E0,5.474435091E-1,-1.327985227E-1,1.990799904E0,2.068964500E0
1.562764845E0,3.870604038E-1,3.495546281E-1,2.043308258E0,2.108817875E0
1.567756720E0,5.114249587E-1,7.463945150E-1,2.038683891E0,2.230446652E0
1.572748595E0,3.930781484E-1,1.144441247E0,1.929779053E0,2.277784755E0
